"행정구역별","산업별",2024.1/2,2024.1/2,2024.2/2,2024.2/2
"부산 동구","사업·개인·공공서비스 및 기타(E,L~U)",22,-,22,-
"부산 영도구","계",47,-,48,-
"부산 영도구","농업, 임업 및 어업 (A)",1,*,1,*
"부산 영도구","광·제조업(B,C)",8,-,8,-
"부산 영도구","건설업 (F) ",3,-,3,-
"부산 영도구","도소매·숙박음식업(G,I)",10,-,10,-
"부산 영도구","전기·운수·통신·금융(D,H,J,K)",7,-,6,-
"부산 영도구","사업·개인·공공서비스 및 기타(E,L~U)",19,-,19,-
"부산 부산진구","계",194,-,194,-
"부산 부산진구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 부산진구","광·제조업(B,C)",23,-,23,-
"부산 부산진구","건설업 (F) ",15,-,17,-
"부산 부산진구","도소매·숙박음식업(G,I)",45,-,44,-
"부산 부산진구","전기·운수·통신·금융(D,H,J,K)",26,-,26,-
"부산 부산진구","사업·개인·공공서비스 및 기타(E,L~U)",85,-,84,-
"부산 동래구","계",130,-,130,-
"부산 동래구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 동래구","광·제조업(B,C)",16,-,16,-
"부산 동래구","건설업 (F) ",11,-,12,-
"부산 동래구","도소매·숙박음식업(G,I)",29,-,23,-
"부산 동래구","전기·운수·통신·금융(D,H,J,K)",16,-,19,-
"부산 동래구","사업·개인·공공서비스 및 기타(E,L~U)",58,-,59,-
"부산 남구","계",122,-,128,-
"부산 남구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 남구","광·제조업(B,C)",13,-,14,-
"부산 남구","건설업 (F) ",9,-,10,-
"부산 남구","도소매·숙박음식업(G,I)",27,-,28,-
"부산 남구","전기·운수·통신·금융(D,H,J,K)",19,-,17,-
"부산 남구","사업·개인·공공서비스 및 기타(E,L~U)",55,-,59,-
"부산 북구","계",136,-,138,-
"부산 북구","농업, 임업 및 어업 (A)",1,*,1,*
"부산 북구","광·제조업(B,C)",24,-,28,-
"부산 북구","건설업 (F) ",12,-,11,-
"부산 북구","도소매·숙박음식업(G,I)",25,-,25,-
"부산 북구","전기·운수·통신·금융(D,H,J,K)",18,-,17,-
"부산 북구","사업·개인·공공서비스 및 기타(E,L~U)",56,-,56,-
"부산 해운대구","계",172,-,175,-
"부산 해운대구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 해운대구","광·제조업(B,C)",17,-,18,-
"부산 해운대구","건설업 (F) ",10,-,10,-
"부산 해운대구","도소매·숙박음식업(G,I)",45,-,47,-
"부산 해운대구","전기·운수·통신·금융(D,H,J,K)",21,-,21,-
"부산 해운대구","사업·개인·공공서비스 및 기타(E,L~U)",79,-,79,-
"부산 사하구","계",152,-,150,-
"부산 사하구","농업, 임업 및 어업 (A)",0,*,0,*
"부산 사하구","광·제조업(B,C)",35,-,35,-
"부산 사하구","건설업 (F) ",11,-,9,-
"부산 사하구","도소매·숙박음식업(G,I)",31,-,27,-
"부산 사하구","전기·운수·통신·금융(D,H,J,K)",20,-,19,-
"부산 사하구","사업·개인·공공서비스 및 기타(E,L~U)",55,-,59,-
"부산 금정구","계",104,-,103,-
"부산 금정구","농업, 임업 및 어업 (A)",0,*,-,-
"부산 금정구","광·제조업(B,C)",13,-,13,-
"부산 금정구","건설업 (F) ",8,-,7,-
